Year,avg_temp,avg_temp_uncer
1990,10.5799118257261,0.294839211618257
1991,10.3948243430152,0.266552904564315
1992,9.94019536652836,0.311400414937759
1993,9.76020401106502,0.286255878284924
1994,10.0674706085754,0.285814661134164
1995,10.656667704011,0.271568118948824
1996,9.81872302904563,0.276960926694328
1997,10.0640255878285,0.294617219917013
1998,10.592178769018,0.274581950207469
1999,10.63740802213,0.277948478561548
2000,10.4269713001383,0.291344398340249
2001,10.5575892116183,0.288959543568465
2002,10.6417130013831,0.290700899031812
2003,10.440566735823,0.32096887966805
2004,10.518698824343,0.29718948824343
2005,10.7185425311203,0.275095089903182
2006,10.6332994467496,0.310697786998618
2007,10.9899398340249,0.280913900414938
2008,10.6851791147994,0.278754149377593
2009,10.4615373443984,0.290794951590595
2010,10.6866614799447,0.295223374827109
2011,10.5007320193638,0.302583333333334
2012,10.7555881742739,0.431442600276626
2013,11.7711151911469,0.552894366197184
